,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
138,3,17880,control,1,7,T108_04,1,1,4,T110_04,6.0,T111_04a,2098.0,TC04x04,true,TC04,1,1
139,3,91943,control,1,6,T108_04,1,1,4,T110_04,6.0,T111_04a,3925.0,TC04x04,true,TC04,1,1
140,2,1051,high,1,3,T108_04,1,1,4,T110_04,1.0,T111_04a,1240.0,TC04x04,false,TC04,1,1
141,1,46667,low,1,2,T108_04,1,1,4,T110_04,6.0,T111_04a,4992.0,TC04x04,true,TC04,1,1
142,3,2274,control,1,7,T108_04,1,1,4,T110_04,6.0,T111_04a,1236.0,TC04x04,true,TC04,1,1
143,1,42927,low,1,2,T108_04,0,1,4,T110_04,1.0,T111_04a,1853.0,TC04x04,true,TC04,1,0
144,1,9902,low,1,1,T108_04,0,1,4,T110_04,6.0,T111_04a,1184.0,TC04x04,true,TC04,1,0
145,3,68993,control,1,7,T108_04,1,1,4,T110_04,6.0,T111_04a,888.0,TC04x04,true,TC04,1,1
146,1,73912,low,1,2,T108_04,1,1,4,T110_04,5.0,T111_04a,7252.0,TC04x04,true,TC04,1,1
147,1,38511,low,1,2,T108_04,1,1,4,T110_04,2.0,T111_04a,2236.0,TC04x04,false,TC04,1,1
148,2,85387,high,1,3,T108_04,1,1,4,T110_04,2.0,T111_04a,2812.0,TC04x04,false,TC04,1,1
149,2,36995,high,1,4,T108_04,1,1,4,T110_04,6.0,T111_04a,1954.0,TC04x04,true,TC04,1,1
150,2,91036,high,1,3,T108_04,1,1,4,T110_04,4.0,T111_04a,1841.0,TC04x04,true,TC04,1,1
151,3,68330,control,1,7,T108_04,1,1,4,T110_04,5.0,T111_04a,702.0,TC04x04,true,TC04,1,1
152,1,9170,low,1,2,T108_04,1,1,4,T110_04,3.0,T111_04a,2839.0,TC04x04,true,TC04,1,1
153,2,3062,high,1,4,T108_04,1,1,4,T110_04,4.0,T111_04a,844.0,TC04x04,true,TC04,1,1
154,2,82248,high,1,3,T108_04,1,1,4,T110_04,2.0,T111_04a,1272.0,TC04x04,false,TC04,1,1
155,1,88704,low,1,2,T108_04,0,1,4,T110_04,2.0,T111_04a,1894.0,TC04x04,false,TC04,1,0
156,3,54993,control,1,6,T108_04,1,1,4,T110_04,6.0,T111_04a,3525.0,TC04x04,false,TC04,1,1
157,1,50213,low,1,2,T108_04,1,1,4,T110_04,6.0,T111_04a,1576.0,TC04x04,true,TC04,1,1
158,3,19356,control,1,7,T108_04,1,1,4,T110_04,5.0,T111_04a,749.0,TC04x04,false,TC04,1,1
159,1,84379,low,1,1,T108_04,1,1,4,T110_04,6.0,T111_04a,1849.0,TC04x04,false,TC04,1,1
160,3,98005,control,1,7,T108_04,1,1,4,T110_04,2.0,T111_04a,4241.0,TC04x04,true,TC04,1,1
161,1,86414,low,1,1,T108_04,0,1,4,T110_04,3.0,T111_04a,1648.0,TC04x04,false,TC04,1,0
162,3,18956,control,1,6,T108_04,1,1,4,T110_04,6.0,T111_04a,1412.0,TC04x04,true,TC04,1,1
163,2,20447,high,1,3,T108_04,1,1,4,T110_04,5.0,T111_04a,2354.0,TC04x04,true,TC04,1,1
164,3,4559,control,1,6,T108_05,1,1,5,T110_05,6.0,T111_05a,7421.0,TC04x05,true,TC04,1,1
165,2,59361,high,1,4,T108_05,1,1,5,T110_05,6.0,T111_05a,4067.0,TC04x05,true,TC04,1,1
166,2,94677,high,1,4,T108_05,1,1,5,T110_05,5.0,T111_05a,4040.0,TC04x05,true,TC04,1,1
167,3,39514,control,1,6,T108_05,1,1,5,T110_05,4.0,T111_05a,1741.0,TC04x05,true,TC04,1,1
168,3,89555,control,1,5,T108_05,1,1,5,T110_05,6.0,T111_05a,6362.0,TC04x05,true,TC04,1,1
169,1,99467,low,1,2,T108_05,1,1,5,T110_05,5.0,T111_05a,2026.0,TC04x05,false,TC04,1,1
170,2,54447,high,1,3,T108_05,1,1,5,T110_05,6.0,T111_05a,4560.0,TC04x05,true,TC04,1,1
171,1,70147,low,1,1,T108_05,1,1,5,T110_05,6.0,T111_05a,4617.0,TC04x05,true,TC04,1,1
172,3,85033,control,1,5,T108_05,1,1,5,T110_05,6.0,T111_05a,10470.0,TC04x05,false,TC04,1,1
173,2,24500,high,1,4,T108_05,1,1,5,T110_05,6.0,T111_05a,1889.0,TC04x05,true,TC04,1,1
174,2,19117,high,1,3,T108_05,1,1,5,T110_05,6.0,T111_05a,2615.0,TC04x05,true,TC04,1,1
175,1,80909,low,1,2,T108_05,1,1,5,T110_05,6.0,T111_05a,2913.0,TC04x05,true,TC04,1,1
176,1,48497,low,1,2,T108_05,0,1,5,T110_05,4.0,T111_05a,4864.0,TC04x05,false,TC04,1,0
177,2,33490,high,1,3,T108_05,1,1,5,T110_05,5.0,T111_05a,7222.0,TC04x05,true,TC04,1,1
178,3,63779,control,1,6,T108_05,1,1,5,T110_05,6.0,T111_05a,13329.0,TC04x05,false,TC04,1,1
179,3,17880,control,1,7,T108_05,1,1,5,T110_05,6.0,T111_05a,4765.0,TC04x05,true,TC04,1,1
